id;callsign;airline_iata;airline_icao;origin;destination;aircraft_code;registration;latitude;longitude;altitude;ground_speed;heading;vertical_speed;on_ground;squawk;time
3b34bbd2;PHPXC;;;;;R44;PH-PXC;52.3552;6.1396;1197;118;87;0;0;;1752261335
3b34bbf4;LOT80;LO;LOT;NRT;WAW;B789;SP-LSC;42.9584;93.6146;36075;450;300;0;0;;1752261339
3b34bbf9;CSN327;CZ;CSN;CAN;LAX;B77W;B-2049;46.3521;156.9784;31000;474;50;0;0;;1752261335
3b34bc20;;;;PLU;;BE9L;PT-WVI;-19.0206;-46.4367;25000;285;109;0;0;;1752261338
3b34bc22;ETH3745;ET;ETH;XMN;ADD;B77L;ET-APS;19.0597;72.7315;32000;527;258;0;0;;1752261339
3b34bc47;N29TB;;;;;;N29TB;-22.1084;-45.2994;21025;256;254;0;0;;1752261300
3b34bc98;SWA4246;WN;SWA;SJC;OGG;B38M;N8760L;21.1503;-156.1423;8650;282;215;-2112;0;;1752261338
3b34bcb5;C182;;;;;C182;;32.3307;-103.1779;3925;113;26;0;0;;1752261325
3b34bd15;UPS81;5X;UPS;PVG;ANC;B748;N621UP;53.0115;172.4997;33004;487;52;0;0;;1752261339
3b34bd16;CSC3837;3U;CSC;TFU;LAX;A359;B-32AG;39.8239;154.4087;37000;552;50;0;0;;1752261339
3b34bd2b;UAE89Y;EK;UAE;BLQ;DXB;A359;A6-EXD;25.1586;55.5292;3025;198;314;-640;0;;1752261339
3b34bd2e;CKK227;CK;CKK;ANC;ORD;B77L;B-2076;43.0625;-89.3613;15250;408;133;-1472;0;;1752261339
3b34bd51;JBU1123;B6;JBU;JFK;LAX;A321;N944JT;35.8448;-112.5145;36000;434;248;64;0;;1752261339
3b34bd96;CP2985;CP;;SRZ;;T206;CP-2985;-17.6277;-62.9347;2700;141;226;0;0;;1752261339
3b34bdd6;XBKKF;;;BJX;BJX;C152;XB-KKF;20.8103;-101.9176;7925;84;69;-64;0;;1752261339
3b34bde8;LPE2472;LA;LAN;LIM;MEX;A20N;CC-BHF;17.3107;-96.3499;36000;452;306;0;0;;1752261339
3b34bdf0;KUK848;KU;KUK;YFB;YQB;PC12;C-GKUC;46.7916;-71.3881;0;18;151;0;1;;1752261339
3b34bdf2;HAL33;HA;HAL;LAX;OGG;A332;N390HA;20.8062;-156.4979;1875;156;34;-704;0;;1752261338
